"app_mode","old_count","migrated_count","new_count","total_migrated","percent_migrated_total"
"shiny","76","25","12","37","48.7"
"static","47","6","3","9","19.1"
"python-dash","37","5","0","5","13.5"
"unknown","14","6","29","35","250.0"
"rmd-static","10","0","0","0","0.0"
"python-streamlit","8","0","0","0","0.0"
"python-api","6","1","0","1","16.7"
"python-shiny","6","1","0","1","16.7"
"rmd-shiny","1","0","4","4","400.0"
"quarto-static","0","1","2","3","NA"
"python-fastapi","0","0","1","1","NA"
"GRAND TOTAL","205","45","51","96","47.0"
